protein	n_obs	status	singular	messages	var_Run	var_BioReplicate	var_Mixture	sigma2	scope	level	var_Run:Channel	var_Run:ionID
Q07968	112	ok	TRUE	boundary (singular) fit: see help('isSingular')	2.74318028117366e-11	0.0737329245499796	0.253325121266112	0.183186683968371	fraction_run	psm	0	0.996197448671399
Q80VI1	35	ok	TRUE	boundary (singular) fit: see help('isSingular')	0.682964259970496	9.16010126164624e-10	0	0.0524105940769379	fraction_run	psm	0.152266004854741	0.0382569251327488
P16054	7	error	NA	grouping factors must have > 1 sampled level	NA	NA	NA	NA	fraction_run	psm	NA	NA
P28867	58	ok	FALSE		0.597629044817885	0.0513021952616447	2.79302954911213e-08	0.134218201012833	fraction_run	psm	0.0498464989963277	0.432245830041796
Q60739	65	ok	TRUE	boundary (singular) fit: see help('isSingular')	1.80709484352317	3.05322195225455e-10	0	0.304793529686255	fraction_run	psm	0	0.121598817337219
Q9D924	20	error	NA	number of levels of each grouping factor must be < number of observations (problems: Run:Channel)	NA	NA	NA	NA	fraction_run	psm	NA	NA
Q64339	13	error	NA	grouping factors must have > 1 sampled level	NA	NA	NA	NA	fraction_run	psm	NA	NA
P56399	621	ok	TRUE	boundary (singular) fit: see help('isSingular')	1.97464557185009e-06	0.0245911832822333	0.0266133236086527	0.267347119400391	fraction_run	psm	6.05019692597393e-11	3.04862530837256
Q60692	133	ok	TRUE	boundary (singular) fit: see help('isSingular')	8.46697902827251e-07	0	0	0.273399669498774	fraction_run	psm	0.0186124040690766	4.83610571468779
Q8BI84	118	ok	TRUE	boundary (singular) fit: see help('isSingular')	1.5412435327404e-09	0.34985379784143	0.408290041047527	0.195651668468727	fraction_run	psm	0	1.12845780969303
Q9Z2V4	457	ok	TRUE	boundary (singular) fit: see help('isSingular')	7.31640767367246e-10	0.156627513477897	0	0.233553185994244	fraction_run	psm	0	5.11037048266261
O70370	10	error	NA	number of levels of each grouping factor must be < number of observations (problems: BioReplicate, Run:Channel)	NA	NA	NA	NA	fraction_run	psm	NA	NA
Q8C3Q9	2	error	NA	grouping factors must have > 1 sampled level	NA	NA	NA	NA	fraction_run	psm	NA	NA
Q8BY87	160	ok	TRUE	boundary (singular) fit: see help('isSingular')	1.41375433206668e-10	0.0936902445425356	6.4886626502858e-10	0.11599549139477	fraction_run	psm	0	0.99518823549514
Q9D168	2	error	NA	grouping factors must have > 1 sampled level	NA	NA	NA	NA	fraction_run	psm	NA	NA
O08532	19	error	NA	number of levels of each grouping factor must be < number of observations (problems: Run:Channel)	NA	NA	NA	NA	fraction_run	psm	NA	NA
A2AIG8	6	error	NA	grouping factors must have > 1 sampled level	NA	NA	NA	NA	fraction_run	psm	NA	NA
